,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Coprococcus comes OTU_145,4,0,0,3,0,0,14,7,0,0,0,0,4,4,0,0,1,0,1,2,0,7,0,0,2,0,0,10,0,0
unknown unknown OTU_146,20,0,0,2,0,0,0,0,0,8,0,0,138,58,0,7,0,0,89,98,0,0,0,0,108,78,0,8,0,0
Alistipes indistinctus OTU_147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium prausnitzii OTU_148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flintibacter unknown OTU_149,4,6,0,13,0,0,8,16,0,11,0,0,5,7,0,13,0,0,3,5,0,45,0,0,2,3,0,44,0,0
unknown unknown OTU_150,42,0,0,6,0,0,0,0,0,12,0,0,243,0,0,5,0,0,215,0,0,0,0,0,162,0,0,0,0,0
unknown unknown OTU_151,0,0,10,0,0,16,0,4,32,5,0,8,0,9,21,0,0,11,8,0,22,14,0,5,0,11,34,8,0,12
unknown unknown OTU_152,0,0,0,0,0,0,0,4,6,4,0,60,0,1,0,1,0,41,0,1,8,1,0,44,0,1,3,3,0,35
Blautia unknown OTU_153,3,70,0,6,0,37,0,54,0,4,0,1,7,122,0,17,0,0,2,30,0,27,0,0,4,3,0,23,0,0
Lachnospira unknown OTU_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Lawsonibacter unknown OTU_155,0,0,0,0,0,0,1,5,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clostridioides unknown OTU_156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_XlVa unknown OTU_157,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinimonas unknown OTU_158,0,0,13,0,0,6,0,0,2,15,28,8,0,1,3,0,19,3,0,0,15,47,37,1,0,0,33,0,24,2
unknown unknown OTU_159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_160,12,0,0,84,0,0,27,0,0,89,0,0,13,7,0,50,0,0,20,19,0,44,0,0,8,0,0,24,0,0
Caproiciproducens unknown OTU_161,0,0,0,0,0,0,2,1,1,0,0,4,0,3,0,0,0,14,4,6,1,0,0,2,0,2,0,0,0,9
Anaerofilum unknown OTU_162,0,0,0,0,0,20,0,0,0,1,0,6,0,0,0,0,0,2,0,0,6,17,115,86,0,0,0,17,0,45
unknown unknown OTU_163,1,0,0,5,0,0,0,0,0,0,0,0,10,15,52,19,23,9,10,21,36,32,138,9,10,14,77,35,172,4
unknown unknown OTU_164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestinibacillus unknown OTU_165,0,0,0,0,0,0,0,7,59,0,0,63,0,0,0,0,0,170,0,1,0,5,0,109,0,8,2,12,0,116
Murimonas unknown OTU_166,0,2,0,3,0,54,0,0,1,0,0,9,0,1,0,4,0,0,0,0,0,2,0,27,0,0,0,2,0,26
unknown unknown OTU_167,0,7,14,0,7,37,0,2,6,0,9,56,0,2,2,0,0,14,2,8,5,0,0,41,0,1,14,0,0,49
Pseudoflavonifractor unknown OTU_168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown OTU_169,0,0,6,0,0,9,1,2,126,1,6,17,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
Clostridium_sensu_stricto butyricum OTU_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillibacter unknown OTU_171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
