sampleID	measurement1	measurement2	measurement3
7-D62	22572226670.901016	39232447793.9489	57687116474.75282
7-D63	71936082041.47408	128007331830.7156	127772906537.58514
7-D64AM	5148949149.001282	12051852491.8084	11359829666.044086
7-D64PM	88671239199.41977	90156933342.07414	131925982969.74927
7-D7	159961120730.7829	68970229950.87744	126490528660.71976
7-D8	141699096262.60852	249270084581.0937	182027358910.57364
7-D9	53169131145.6187	35603991815.04275	130319379556.56793
8-D10	51884984948.4248	72719119013.42345	82459501896.11261
8-D11	150530264362.36734	326310286094.9635	103722959157.37166
8-D14	56748995713.150764	123124804264.76697	121139826885.06613
8-D16	69228697300.51219	39944842119.55045	55614083413.115036
8-D18	123294431770.77306	216928200084.3852	229218746586.36176
8-D1AM	21186229587.39542	30204752930.609123	21084846692.47214
8-D1PM	13696853823.690866	27147436265.8038	36969086015.732185
8-D21AM	27809687569.551537	51362341480.81167	36217137933.535484
8-D21PM	543815429323.5798	376386096816.4292	588291269110.0029
8-D22AM	115771055654.33047	165339937979.39972	149086894041.9884
8-D22PM	85183281864.68857	58290892567.34128	82189779627.6718
8-D23AM	51587884127.15867	80080696329.72089	56185487895.60877
8-D23PM	59140971374.01157	115338120259.03293	128103178790.36227
8-D24	128054188104.44963	203474523518.27786	214224908044.3366
8-D25	195480723076.85468	385784088851.4257	128984256495.13942
8-D28AM	89769314089.37866	35944874994.21601	69937578973.87161
8-D28PM	554069281078.3733	488570111568.5593	467767975858.0594
8-D29AM	273437349738.54016	396561071841.3073	200319827870.88376
8-D29PM	129716632398.67401	58087476433.76512	129522074596.133
8-D2AM	53110678752.539406	81419519241.03737	44971900034.71991
8-D2PM	23008658615.76166	24764147524.19814	34809785730.107086
8-D30AM	167929937292.13104	262269965433.00864	289473278712.8302
8-D30PM	47294517231.6808	124461392109.58293	112367572937.56944
8-D31AM	418963503320.68384	576162876670.0687	595768755824.1321
8-D31PM	417397100190.0513	391183289432.8898	366615099123.276
8-D32	6331310995.344947	11098058221.637436	5219041483.287893
8-D33	40724840397.11079	45141389614.56644	43864313922.623314
8-D35AM	140037241062.26016	170920055698.28833	220106681551.08954
8-D35PM	83695111093.49239	111256886192.65886	154561505254.30447
8-D36AM	116579472091.35155	138432374831.0776	192525428309.11694
8-D36PM	193156453021.1294	305051289570.5799	246533464058.71024
8-D37AM	49775639399.70537	110662692473.38928	47915056520.13041
8-D37PM	49268067090.83124	40794676937.785065	90021094957.55095
8-D38	99981890984.50014	43866089832.66437	107105288821.99628
8-D39	88990049133.09729	130777463546.72134	128533073787.17015
8-D3AM	30176078096.60878	31010144795.66555	56118006311.13076
8-D3PM	6044545437.871952	11492310348.320284	14639425692.9983
8-D42AM	76393644045.0135	75375975497.349	47131022586.46256
8-D42PM	27482292386.82983	33089165614.277863	48212430540.4523
8-D43AM	16199577653.667772	16158154322.255331	31498002319.42553
8-D43PM	17660560097.746525	15364304584.595825	4014851754.207264
8-D44AM	25437554384.57969	44011316884.41257	48999043813.18897
8-D44PM	32387571825.95812	10991034411.096714	29251434411.725567
8-D45AM	13135005745.95176	9833450257.79684	17517772387.188557
8-D45PM	48794259320.18735	60667426025.75582	56147147983.84764
8-D46	13309132590.01928	7494205774.434775	13381107822.09076
8-D47	31652077153.655724	37082552481.10861	29707309306.07558
8-D4AM	21629751804.88464	27447934413.99358	33763761830.811493
8-D4PM	24215888604.32701	39092089685.88263	52092437390.084564
8-D5	12661649823.862043	21244111328.76815	28003942280.828503
8-D50AM	34226815803.758167	50521912007.42565	78129917576.93085
8-D50PM	47838251708.9684	35427738889.44367	50549238467.54143
8-D51AM	29130141628.725758	35149468386.450066	47823824239.5765
8-D51PM	70095829118.0824	86280519277.45421	38537018246.983
8-D52AM	61493065605.22886	89195628411.59073	109991649916.48094
